n,n-th gram point
328,582.3854279629886
329,583.7723082788289
330,585.1584619767964
331,586.5438918508589
332,587.9286006949842
333,589.3125913031399
334,590.6958665624261
335,592.0784292668104
336,593.4602821171284
337,594.8414278142154
338,596.2218692451715
339,597.6016089245677
340,598.9806495532393
341,600.3589939251542
342,601.7366446480155
343,603.1136043295264
344,604.4898755773902
345,605.8654609061778
346,607.2403631098568
347,608.6145845167339
348,609.9881278276443
349,611.3609954640269
350,612.7331900335848
351,614.1047139577568
352,615.4755697511137
353,616.8457598350942
354,618.2152866311371
355,619.5841527469456
356,620.9523603245616
357,622.3199119716883
358,623.6868100166321
359,625.0530567876995
360,626.4186546131968
361,627.7836059145629
362,629.1479129269719
363,630.5115779787302
364,631.8746034912765
365,633.2369915135205
366,634.5987444669008
367,635.9598644934595
368,637.3203539215028
369,638.6802149862051
370,640.039449736476
371,641.398060593754
372,642.7560495138168
373,644.1134187318385
374,645.4701704829931
375,646.8263069093227
376,648.1818299666047
377,649.5367418900132
378,650.8910447284579
379,652.2447406239808
380,653.5978317186236
381,654.9503198750317
382,656.3022072352469
383,657.6534958481789
384,659.0041877627373
385,660.3542849346995
386,661.703789319843
387,663.0527030602098
388,664.4010280184448
389,665.7487661503255
390,667.0959194116294
391,668.4424897581339
392,669.7884792387486
393,671.1338895298541
394,672.4787226803601
395,673.822980646044
396,675.1666651032865
397,676.5097781941295
398,677.8523215018213
399,679.1942970752716
400,680.5357066839933
401,681.8765521906316
402,683.2168353646994
403,684.5565579757094
404,685.8957219794393
405,687.2343289591372
406,688.5723808705807
407,689.9098793901503
408,691.246826287359
409,692.5832232385874
410,693.9190721996129
411,695.2543746605515
412,696.5891323909163
413,697.9233472533524
414,699.2570207379758
415,700.5901547074318
416,701.9227506518364
