config,error
[105/240] o_shank | tanh | riemann_spectral_data_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[106/240] o_shank | tanh | riemann_spectral_data_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[107/240] o_shank | tanh | riemann_spectral_data_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[108/240] o_shank | tanh | riemann_spectral_data_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[109/240] o_shank | tanh | riemann_quantum_interference_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[110/240] o_shank | tanh | riemann_quantum_interference_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[111/240] o_shank | tanh | riemann_quantum_interference_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[112/240] o_shank | tanh | riemann_quantum_interference_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[113/240] o_shank | tanh | riemann_advanced_data_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[114/240] o_shank | tanh | riemann_advanced_data_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[115/240] o_shank | tanh | riemann_advanced_data_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[116/240] o_shank | tanh | riemann_advanced_data_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[117/240] o_shank | tanh | zeta_data_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[118/240] o_shank | tanh | zeta_data_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[119/240] o_shank | tanh | zeta_data_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[120/240] o_shank | tanh | zeta_data_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[121/240] o_shank | tanh | riemann_data_map | X+XX | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[122/240] o_shank | tanh | riemann_data_map | X+XX | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
