feature,corr,mutual_info,rf_importance,nn_weight,final_score
d_lag_11,0.13478860939813206,0.022223546246715516,0.00022398888851628864,0.5002321037837503,0.34922622849580265
z_gram_lag_10,0.006090697488497301,0.02169699360404261,0.0008413435836149609,0.5497857903829309,0.34804431399892766
z_co_gram_lag_4,0.007113190881936457,0.12099415540139487,0.0015440441655416408,0.505315136761038,0.339288969234457
z_gram_lag_8,0.007770222525922856,0.012871984659229006,0.0007672740225211086,0.5342264528792149,0.3371125054159677
d_lag_10,0.11591081356598153,0.017078482775302443,0.00018588142383283847,0.4857801660541981,0.3345581220662734
d_lag_12,0.13432258182254178,0.023483414442526714,0.00020928644068372388,0.47598188960706145,0.33424364753906366
co_gram_lag_8,0.14633383813138745,0.02741688708245387,0.004128781517702537,0.46410439514775176,0.3313066016504605
d_lag_18,0.11543429723815551,0.02865234048067814,0.0004099486618480696,0.4761712141495121,0.33066029662009394
z_term_3,0.007103669019530496,0.014670178803306462,0.00024390847166247534,0.5173376646244767,0.32666902542781245
d_lag_23,0.17604107238725858,0.03671547624994602,0.00030249636755689,0.44288347185106963,0.32651457026322966
co_gram_lag_5,0.14633330930612581,0.02741826568800555,0.0037158614356295402,0.4499958267829257,0.32244506925082517
z_co_gram_lag_5,0.019983061039930545,0.0524847665933083,0.0003871220078250356,0.49383857959661837,0.3223354737554807
d_lag_15,0.10921476009099416,0.019714668741770597,0.00032480639745376713,0.46475552972731554,0.32031806849884886
d_lag_16,0.046138226620916586,0.006794306108445365,0.00033507025290141447,0.48939491444097627,0.3175384524204316
z_integer_lag_3,0.004536010540626219,0.004989694516003916,0.0001977175539969864,0.5048589142585115,0.3164429361734724
z_integer_lag_9,0.008928682307747385,0.0,0.00019511005258983965,0.5044698206325758,0.31636217038167913
d_lag_7,0.07182636707844924,0.028080425569064614,0.00015863407518517577,0.4566881307372538,0.3075148411156222
z_co_gram_lag_9,0.007303466333396175,0.02881746478140491,0.0001549255111063678,0.4771798787697515,0.30434099893313327
z_co_gram_lag_6,0.008292273235580074,0.024693810905100637,0.00025618054682734567,0.4732240896692163,0.30137289314822724
z_integer_lag_4,0.0042881066978237405,0.004575972029423032,0.00020152062487846585,0.4646529056529541,0.29127084334074305
d_lag_8,0.009186852994290359,0.029256684402130213,0.00016974292282445936,0.45168498069665136,0.28902078837214346
z_co_gram_lag_8,0.005628738191612974,0.017930855100408375,0.00015530186944482906,0.4559154311446748,0.28865039571309764
z_co_gram_lag_13,0.012555115453618737,0.014546595258558658,0.00016241044744533131,0.45291680146340807,0.28787756260577
z_integer_lag_5,0.001972912083215564,0.002161765058040939,0.00019910374866673614,0.4576487078802404,0.2858817493618795
d_lag_17,0.03193720266742008,0.015751537890343992,0.0004417816766892589,0.4414818531161801,0.2858621964780815
z_co_gram_lag_12,0.008322218210680622,0.01619092609895157,0.00015016900544722654,0.4409759982411184,0.2796934022769319
z_integer_lag_8,0.001572847530494133,0.001030624416762171,0.00019213455343723343,0.44408037786697047,0.2771213666887182
z_integer_lag_1,0.004877866745108996,0.007212349037953543,0.00019361985646233892,0.4353535163160438,0.2736657947029954
z_co_gram_lag_10,0.0011459416398533597,0.028754063969378355,0.0001612139279827511,0.4274008016827177,0.2718024314841188
z_term_4,0.012043400582238285,0.01049103286382243,0.0001706888960724128,0.4174292111565125,0.26489820376436995
z_co_gram_lag_7,0.009739954191672874,0.01883880380937268,0.00015897034472210061,0.4150554294964196,0.264403614834607
z_integer_lag_10,0.0056764330098177055,0.005222531405504317,0.0001927833021881517,0.42008381715114235,0.26398535248932253
d_lag_9,0.06270666316239232,0.021101894482317755,0.0001636931210583844,0.3915517354413632,0.26338456440881325
d_lag_25,0.17894782717092791,0.034223683244546256,0.0002820352097430877,0.33351904410784733,0.25867481580193846
z_term_5,0.006570091095749532,0.005139722874053917,0.0001835289500268728,0.4083766232429505,0.2569013843297466
z_integer,0.0028952978400101316,0.0,0.00020018790963049978,0.4111272227770398,0.25674184151741886
z_integer_lag_6,0.0012124278486689392,0.0066980453909636604,0.0002018240873419928,0.4053213487665531,0.25395919989942567
z_co_gram_lag_14,0.008858691133413784,0.0077488496744357056,0.00016928904259769367,0.39422933153467904,0.24914743540279846
d_lag_24,0.19900578319735948,0.03725015860081626,0.00027146464487576093,0.3046075221226365,0.24623229042160116
z_co_gram_lag_15,0.009295360399847482,0.010434941594125963,0.00018557197809038485,0.38791630108384284,0.24583023882072716
z_integer_lag_7,0.0023325361347242336,0.003890001545828128,0.00019972523514467773,0.3891940477048612,0.2436717906337819
z_integer_lag_2,0.0005006271048602848,0.0,0.0001927486075106178,0.3843262337697588,0.23945673741384188
z_term_7,0.00529472148204228,0.0,0.00018802056273765482,0.37158320908654535,0.23271555889268192
z_term_6,0.013263063275674723,0.002398084069552413,0.0003292501420682187,0.36700431378440435,0.23232344370099328
